"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
15	"WFE"	"CPZ"	3.00989333333333	"White"	"female"	"eyes"
15	"WFF"	"CPZ"	2.81433242424242	"White"	"female"	"fore"
15	"WME"	"CPZ"	2.08810606060606	"White"	"male"	"eyes"
15	"WMF"	"CPZ"	2.27672181818182	"White"	"male"	"fore"
16	"BFE"	"CPZ"	-1.63051333333333	"Black"	"female"	"eyes"
16	"BFF"	"CPZ"	-2.17635181818182	"Black"	"female"	"fore"
16	"BME"	"CPZ"	1.75154575757576	"Black"	"male"	"eyes"
16	"BMF"	"CPZ"	-2.6407496969697	"Black"	"male"	"fore"
16	"WFE"	"CPZ"	-1.93452818181818	"White"	"female"	"eyes"
16	"WFF"	"CPZ"	-1.37137878787879	"White"	"female"	"fore"
16	"WME"	"CPZ"	-2.41124939393939	"White"	"male"	"eyes"
16	"WMF"	"CPZ"	-1.40862909090909	"White"	"male"	"fore"
17	"BFE"	"CPZ"	7.17873060606061	"Black"	"female"	"eyes"
17	"BFF"	"CPZ"	2.54356272727273	"Black"	"female"	"fore"
17	"BME"	"CPZ"	3.28280090909091	"Black"	"male"	"eyes"
17	"BMF"	"CPZ"	0.0272009454545455	"Black"	"male"	"fore"
17	"WFE"	"CPZ"	1.51546848484848	"White"	"female"	"eyes"
17	"WFF"	"CPZ"	4.29271515151515	"White"	"female"	"fore"
17	"WME"	"CPZ"	5.08435909090909	"White"	"male"	"eyes"
17	"WMF"	"CPZ"	3.76701696969697	"White"	"male"	"fore"
19	"BFE"	"CPZ"	-0.562429121212121	"Black"	"female"	"eyes"
19	"BFF"	"CPZ"	-1.49607090909091	"Black"	"female"	"fore"
19	"BME"	"CPZ"	0.353223242424242	"Black"	"male"	"eyes"
19	"BMF"	"CPZ"	0.20456196969697	"Black"	"male"	"fore"
19	"WFE"	"CPZ"	1.69698	"White"	"female"	"eyes"
19	"WFF"	"CPZ"	0.105916636363636	"White"	"female"	"fore"
19	"WME"	"CPZ"	1.93097878787879	"White"	"male"	"eyes"
19	"WMF"	"CPZ"	0.645109909090909	"White"	"male"	"fore"
20	"BFE"	"CPZ"	7.25205878787879	"Black"	"female"	"eyes"
20	"BFF"	"CPZ"	3.97632151515152	"Black"	"female"	"fore"
20	"BME"	"CPZ"	5.05869606060606	"Black"	"male"	"eyes"
20	"BMF"	"CPZ"	4.50175848484848	"Black"	"male"	"fore"
20	"WFE"	"CPZ"	5.90079666666667	"White"	"female"	"eyes"
20	"WFF"	"CPZ"	3.46870909090909	"White"	"female"	"fore"
20	"WME"	"CPZ"	5.66299787878788	"White"	"male"	"eyes"
20	"WMF"	"CPZ"	4.17234272727273	"White"	"male"	"fore"
21	"BFE"	"CPZ"	0.55410103030303	"Black"	"female"	"eyes"
21	"BFF"	"CPZ"	0.876120454545455	"Black"	"female"	"fore"
21	"BME"	"CPZ"	2.42964060606061	"Black"	"male"	"eyes"
21	"BMF"	"CPZ"	1.72863909090909	"Black"	"male"	"fore"
21	"WFE"	"CPZ"	0.504432151515152	"White"	"female"	"eyes"
21	"WFF"	"CPZ"	3.22826848484848	"White"	"female"	"fore"
21	"WME"	"CPZ"	1.69632151515152	"White"	"male"	"eyes"
21	"WMF"	"CPZ"	-0.144562181818182	"White"	"male"	"fore"
22	"BFE"	"CPZ"	3.41520727272727	"Black"	"female"	"eyes"
22	"BFF"	"CPZ"	2.04956303030303	"Black"	"female"	"fore"
22	"BME"	"CPZ"	4.58464909090909	"Black"	"male"	"eyes"
22	"BMF"	"CPZ"	1.45988	"Black"	"male"	"fore"
22	"WFE"	"CPZ"	3.68089848484848	"White"	"female"	"eyes"
22	"WFF"	"CPZ"	2.77923363636364	"White"	"female"	"fore"
22	"WME"	"CPZ"	2.90247454545455	"White"	"male"	"eyes"
22	"WMF"	"CPZ"	2.29490333333333	"White"	"male"	"fore"
23	"BFE"	"CPZ"	2.15655484848485	"Black"	"female"	"eyes"
23	"BFF"	"CPZ"	2.00636454545455	"Black"	"female"	"fore"
23	"BME"	"CPZ"	1.223	"Black"	"male"	"eyes"
23	"BMF"	"CPZ"	2.84568363636364	"Black"	"male"	"fore"
23	"WFE"	"CPZ"	1.89071181818182	"White"	"female"	"eyes"
23	"WFF"	"CPZ"	3.8557796969697	"White"	"female"	"fore"
23	"WME"	"CPZ"	3.13395727272727	"White"	"male"	"eyes"
23	"WMF"	"CPZ"	1.86360363636364	"White"	"male"	"fore"
24	"BFE"	"CPZ"	3.19529333333333	"Black"	"female"	"eyes"
24	"BFF"	"CPZ"	-0.213970151515152	"Black"	"female"	"fore"
24	"BME"	"CPZ"	2.66916	"Black"	"male"	"eyes"
24	"BMF"	"CPZ"	3.01659181818182	"Black"	"male"	"fore"
24	"WFE"	"CPZ"	5.56209727272727	"White"	"female"	"eyes"
24	"WFF"	"CPZ"	1.86487212121212	"White"	"female"	"fore"
24	"WME"	"CPZ"	2.58007393939394	"White"	"male"	"eyes"
24	"WMF"	"CPZ"	1.86176484848485	"White"	"male"	"fore"
25	"BFE"	"CPZ"	0.813107878787879	"Black"	"female"	"eyes"
25	"BFF"	"CPZ"	0.44306696969697	"Black"	"female"	"fore"
25	"BME"	"CPZ"	0.858957393939394	"Black"	"male"	"eyes"
25	"BMF"	"CPZ"	-0.0461656363636364	"Black"	"male"	"fore"
25	"WFE"	"CPZ"	1.65023636363636	"White"	"female"	"eyes"
25	"WFF"	"CPZ"	-0.326844757575758	"White"	"female"	"fore"
25	"WME"	"CPZ"	0.865943575757576	"White"	"male"	"eyes"
25	"WMF"	"CPZ"	0.759795090909091	"White"	"male"	"fore"
26	"BFE"	"CPZ"	3.93836575757576	"Black"	"female"	"eyes"
26	"BFF"	"CPZ"	1.31940484848485	"Black"	"female"	"fore"
26	"BME"	"CPZ"	4.55298666666667	"Black"	"male"	"eyes"
26	"BMF"	"CPZ"	2.54776909090909	"Black"	"male"	"fore"
26	"WFE"	"CPZ"	2.86452575757576	"White"	"female"	"eyes"
26	"WFF"	"CPZ"	3.36622787878788	"White"	"female"	"fore"
26	"WME"	"CPZ"	4.53263727272727	"White"	"male"	"eyes"
26	"WMF"	"CPZ"	4.06314272727273	"White"	"male"	"fore"
27	"BFE"	"CPZ"	0.681520212121212	"Black"	"female"	"eyes"
27	"BFF"	"CPZ"	-3.16748909090909	"Black"	"female"	"fore"
27	"BME"	"CPZ"	2.25334606060606	"Black"	"male"	"eyes"
27	"BMF"	"CPZ"	-0.438112303030303	"Black"	"male"	"fore"
27	"WFE"	"CPZ"	0.154854121212121	"White"	"female"	"eyes"
27	"WFF"	"CPZ"	0.16592903030303	"White"	"female"	"fore"
27	"WME"	"CPZ"	0.720640151515151	"White"	"male"	"eyes"
27	"WMF"	"CPZ"	-0.632077121212121	"White"	"male"	"fore"
28	"BFE"	"CPZ"	-0.273221939393939	"Black"	"female"	"eyes"
28	"BFF"	"CPZ"	-3.22671727272727	"Black"	"female"	"fore"
28	"BME"	"CPZ"	0.768368575757576	"Black"	"male"	"eyes"
28	"BMF"	"CPZ"	0.386515515151515	"Black"	"male"	"fore"
28	"WFE"	"CPZ"	-0.18138896969697	"White"	"female"	"eyes"
28	"WFF"	"CPZ"	-1.35241787878788	"White"	"female"	"fore"
28	"WME"	"CPZ"	-1.74150606060606	"White"	"male"	"eyes"
28	"WMF"	"CPZ"	-1.72171939393939	"White"	"male"	"fore"
29	"BFE"	"CPZ"	-0.216331	"Black"	"female"	"eyes"
29	"BFF"	"CPZ"	-0.145359575757576	"Black"	"female"	"fore"
29	"BME"	"CPZ"	1.2602403030303	"Black"	"male"	"eyes"
29	"BMF"	"CPZ"	-1.59186727272727	"Black"	"male"	"fore"
29	"WFE"	"CPZ"	0.389267	"White"	"female"	"eyes"
29	"WFF"	"CPZ"	0.173637848484848	"White"	"female"	"fore"
29	"WME"	"CPZ"	1.30022	"White"	"male"	"eyes"
29	"WMF"	"CPZ"	0.861986909090909	"White"	"male"	"fore"
30	"BFE"	"CPZ"	0.730824939393939	"Black"	"female"	"eyes"
30	"BFF"	"CPZ"	1.42765818181818	"Black"	"female"	"fore"
30	"BME"	"CPZ"	2.90766606060606	"Black"	"male"	"eyes"
30	"BMF"	"CPZ"	0.216087060606061	"Black"	"male"	"fore"
30	"WFE"	"CPZ"	1.05859121212121	"White"	"female"	"eyes"
30	"WFF"	"CPZ"	0.605437151515152	"White"	"female"	"fore"
30	"WME"	"CPZ"	0.808197333333333	"White"	"male"	"eyes"
30	"WMF"	"CPZ"	1.38024363636364	"White"	"male"	"fore"
31	"BFE"	"CPZ"	3.02398454545455	"Black"	"female"	"eyes"
31	"BFF"	"CPZ"	2.46028151515152	"Black"	"female"	"fore"
31	"BME"	"CPZ"	2.47927666666667	"Black"	"male"	"eyes"
31	"BMF"	"CPZ"	1.42654363636364	"Black"	"male"	"fore"
31	"WFE"	"CPZ"	2.00837545454545	"White"	"female"	"eyes"
31	"WFF"	"CPZ"	2.3363603030303	"White"	"female"	"fore"
31	"WME"	"CPZ"	2.67850666666667	"White"	"male"	"eyes"
31	"WMF"	"CPZ"	1.99452575757576	"White"	"male"	"fore"
33	"BFE"	"CPZ"	1.57627484848485	"Black"	"female"	"eyes"
33	"BFF"	"CPZ"	1.94739757575758	"Black"	"female"	"fore"
33	"BME"	"CPZ"	4.37778212121212	"Black"	"male"	"eyes"
33	"BMF"	"CPZ"	3.96320242424242	"Black"	"male"	"fore"
33	"WFE"	"CPZ"	4.03932727272727	"White"	"female"	"eyes"
33	"WFF"	"CPZ"	2.56258212121212	"White"	"female"	"fore"
33	"WME"	"CPZ"	4.70991575757576	"White"	"male"	"eyes"
33	"WMF"	"CPZ"	3.41317454545455	"White"	"male"	"fore"
34	"BFE"	"CPZ"	1.07178242424242	"Black"	"female"	"eyes"
34	"BFF"	"CPZ"	-0.0822755696969697	"Black"	"female"	"fore"
34	"BME"	"CPZ"	1.21825333333333	"Black"	"male"	"eyes"
34	"BMF"	"CPZ"	0.531576121212121	"Black"	"male"	"fore"
34	"WFE"	"CPZ"	1.56160363636364	"White"	"female"	"eyes"
34	"WFF"	"CPZ"	-0.26168196969697	"White"	"female"	"fore"
34	"WME"	"CPZ"	0.094858	"White"	"male"	"eyes"
34	"WMF"	"CPZ"	0.926920606060606	"White"	"male"	"fore"
35	"BFE"	"CPZ"	4.23054636363636	"Black"	"female"	"eyes"
35	"BFF"	"CPZ"	6.34646575757576	"Black"	"female"	"fore"
35	"BME"	"CPZ"	6.79275515151515	"Black"	"male"	"eyes"
35	"BMF"	"CPZ"	6.13300303030303	"Black"	"male"	"fore"
35	"WFE"	"CPZ"	6.09454	"White"	"female"	"eyes"
35	"WFF"	"CPZ"	5.64329727272727	"White"	"female"	"fore"
35	"WME"	"CPZ"	5.08519545454545	"White"	"male"	"eyes"
