"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
27	"BFF"	"CPZ"	-2.66972427272727	"Black"	"female"	"fore"
27	"BME"	"CPZ"	2.59803921212121	"Black"	"male"	"eyes"
27	"BMF"	"CPZ"	0.396127333333333	"Black"	"male"	"fore"
27	"WFE"	"CPZ"	1.65216633333333	"White"	"female"	"eyes"
27	"WFF"	"CPZ"	0.671897757575758	"White"	"female"	"fore"
27	"WME"	"CPZ"	0.403441545454545	"White"	"male"	"eyes"
27	"WMF"	"CPZ"	-2.34818227272727	"White"	"male"	"fore"
28	"BFE"	"CPZ"	-1.16543948484848	"Black"	"female"	"eyes"
28	"BFF"	"CPZ"	-2.78110257575758	"Black"	"female"	"fore"
28	"BME"	"CPZ"	0.782757181818182	"Black"	"male"	"eyes"
28	"BMF"	"CPZ"	-2.26754206060606	"Black"	"male"	"fore"
28	"WFE"	"CPZ"	0.407444666666667	"White"	"female"	"eyes"
28	"WFF"	"CPZ"	-0.109001745454545	"White"	"female"	"fore"
28	"WME"	"CPZ"	-1.70659960606061	"White"	"male"	"eyes"
28	"WMF"	"CPZ"	-0.348684	"White"	"male"	"fore"
29	"BFE"	"CPZ"	0.0311335666666667	"Black"	"female"	"eyes"
29	"BFF"	"CPZ"	-1.24433242424242	"Black"	"female"	"fore"
29	"BME"	"CPZ"	0.392423545454545	"Black"	"male"	"eyes"
29	"BMF"	"CPZ"	-0.756570515151515	"Black"	"male"	"fore"
29	"WFE"	"CPZ"	0.927292424242424	"White"	"female"	"eyes"
29	"WFF"	"CPZ"	-0.0884816848484848	"White"	"female"	"fore"
29	"WME"	"CPZ"	-0.79947096969697	"White"	"male"	"eyes"
29	"WMF"	"CPZ"	-0.58558503030303	"White"	"male"	"fore"
30	"BFE"	"CPZ"	0.737835181818182	"Black"	"female"	"eyes"
30	"BFF"	"CPZ"	0.564123848484849	"Black"	"female"	"fore"
30	"BME"	"CPZ"	2.08275566666667	"Black"	"male"	"eyes"
30	"BMF"	"CPZ"	2.11579433333333	"Black"	"male"	"fore"
30	"WFE"	"CPZ"	0.197478760606061	"White"	"female"	"eyes"
30	"WFF"	"CPZ"	0.799489515151515	"White"	"female"	"fore"
30	"WME"	"CPZ"	-0.0287043345454545	"White"	"male"	"eyes"
30	"WMF"	"CPZ"	0.797220757575758	"White"	"male"	"fore"
31	"BFE"	"CPZ"	1.98480209090909	"Black"	"female"	"eyes"
31	"BFF"	"CPZ"	2.6906046969697	"Black"	"female"	"fore"
31	"BME"	"CPZ"	4.35810424242424	"Black"	"male"	"eyes"
31	"BMF"	"CPZ"	2.65158033333333	"Black"	"male"	"fore"
31	"WFE"	"CPZ"	2.93970333333333	"White"	"female"	"eyes"
31	"WFF"	"CPZ"	3.13906787878788	"White"	"female"	"fore"
31	"WME"	"CPZ"	2.4547066969697	"White"	"male"	"eyes"
31	"WMF"	"CPZ"	4.50053363636364	"White"	"male"	"fore"
32	"BFE"	"CPZ"	3.15742818181818	"Black"	"female"	"eyes"
32	"BFF"	"CPZ"	4.54743787878788	"Black"	"female"	"fore"
32	"BME"	"CPZ"	4.48271515151515	"Black"	"male"	"eyes"
32	"BMF"	"CPZ"	2.93912303030303	"Black"	"male"	"fore"
32	"WFE"	"CPZ"	3.52112090909091	"White"	"female"	"eyes"
32	"WFF"	"CPZ"	3.70555363636364	"White"	"female"	"fore"
32	"WME"	"CPZ"	1.197124	"White"	"male"	"eyes"
32	"WMF"	"CPZ"	4.22420242424242	"White"	"male"	"fore"
33	"BFE"	"CPZ"	2.90248060606061	"Black"	"female"	"eyes"
33	"BFF"	"CPZ"	2.80606124242424	"Black"	"female"	"fore"
33	"BME"	"CPZ"	3.64216090909091	"Black"	"male"	"eyes"
33	"BMF"	"CPZ"	2.6840123030303	"Black"	"male"	"fore"
33	"WFE"	"CPZ"	1.98894915151515	"White"	"female"	"eyes"
33	"WFF"	"CPZ"	1.01450778787879	"White"	"female"	"fore"
33	"WME"	"CPZ"	4.44946545454545	"White"	"male"	"eyes"
33	"WMF"	"CPZ"	3.32701939393939	"White"	"male"	"fore"
35	"BFE"	"CPZ"	3.27263787878788	"Black"	"female"	"eyes"
35	"BFF"	"CPZ"	3.2057103030303	"Black"	"female"	"fore"
35	"BME"	"CPZ"	5.56725424242424	"Black"	"male"	"eyes"
35	"BMF"	"CPZ"	4.25015363636364	"Black"	"male"	"fore"
35	"WFE"	"CPZ"	2.99459	"White"	"female"	"eyes"
35	"WFF"	"CPZ"	4.2639103030303	"White"	"female"	"fore"
35	"WME"	"CPZ"	4.51264848484848	"White"	"male"	"eyes"
