"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"	"Task"
9	"GBFF"	"PZ"	-3.70196096774194	"Black"	"female"	"fore"	"Gender"
9	"GBME"	"PZ"	-6.10416774193548	"Black"	"male"	"eyes"	"Gender"
9	"GBMF"	"PZ"	-2.71028838709677	"Black"	"male"	"fore"	"Gender"
9	"GWFE"	"PZ"	-1.76292129032258	"White"	"female"	"eyes"	"Gender"
9	"GWFF"	"PZ"	-3.48889129032258	"White"	"female"	"fore"	"Gender"
9	"GWME"	"PZ"	-5.77573548387097	"White"	"male"	"eyes"	"Gender"
9	"GWMF"	"PZ"	-5.60004193548387	"White"	"male"	"fore"	"Gender"
9	"RBFE"	"PZ"	-1.92421516129032	"Black"	"female"	"eyes"	"Race"
9	"RBFF"	"PZ"	-2.11478032258064	"Black"	"female"	"fore"	"Race"
9	"RBME"	"PZ"	-5.53445161290323	"Black"	"male"	"eyes"	"Race"
9	"RBMF"	"PZ"	-3.90024225806452	"Black"	"male"	"fore"	"Race"
9	"RWFE"	"PZ"	-2.56122870967742	"White"	"female"	"eyes"	"Race"
9	"RWFF"	"PZ"	-0.752715806451613	"White"	"female"	"fore"	"Race"
9	"RWME"	"PZ"	-4.52675161290323	"White"	"male"	"eyes"	"Race"
9	"RWMF"	"PZ"	-3.53140612903226	"White"	"male"	"fore"	"Race"
10	"GBFE"	"PZ"	0.335113387096774	"Black"	"female"	"eyes"	"Gender"
10	"GBFF"	"PZ"	0.88022064516129	"Black"	"female"	"fore"	"Gender"
10	"GBME"	"PZ"	1.33687838709677	"Black"	"male"	"eyes"	"Gender"
10	"GBMF"	"PZ"	2.42045903225806	"Black"	"male"	"fore"	"Gender"
10	"GWFE"	"PZ"	0.700784516129032	"White"	"female"	"eyes"	"Gender"
10	"GWFF"	"PZ"	0.822314516129032	"White"	"female"	"fore"	"Gender"
10	"GWME"	"PZ"	0.852544193548387	"White"	"male"	"eyes"	"Gender"
10	"GWMF"	"PZ"	2.73890193548387	"White"	"male"	"fore"	"Gender"
10	"RBFE"	"PZ"	1.50765	"Black"	"female"	"eyes"	"Race"
10	"RBFF"	"PZ"	2.88026741935484	"Black"	"female"	"fore"	"Race"
10	"RBME"	"PZ"	0.166209096774194	"Black"	"male"	"eyes"	"Race"
10	"RBMF"	"PZ"	2.47593677419355	"Black"	"male"	"fore"	"Race"
10	"RWFE"	"PZ"	1.42767838709677	"White"	"female"	"eyes"	"Race"
10	"RWFF"	"PZ"	1.81600548387097	"White"	"female"	"fore"	"Race"
10	"RWME"	"PZ"	1.42734870967742	"White"	"male"	"eyes"	"Race"
10	"RWMF"	"PZ"	1.83055387096774	"White"	"male"	"fore"	"Race"
11	"GBFE"	"PZ"	-0.75763935483871	"Black"	"female"	"eyes"	"Gender"
11	"GBFF"	"PZ"	-0.803167419354839	"Black"	"female"	"fore"	"Gender"
11	"GBME"	"PZ"	-1.40147838709677	"Black"	"male"	"eyes"	"Gender"
11	"GBMF"	"PZ"	-0.089	"Black"	"male"	"fore"	"Gender"
11	"GWFE"	"PZ"	-0.918820322580645	"White"	"female"	"eyes"	"Gender"
11	"GWFF"	"PZ"	-0.499775483870968	"White"	"female"	"fore"	"Gender"
11	"GWME"	"PZ"	-0.915728709677419	"White"	"male"	"eyes"	"Gender"
11	"GWMF"	"PZ"	-0.861329032258064	"White"	"male"	"fore"	"Gender"
11	"RBFE"	"PZ"	-1.62350677419355	"Black"	"female"	"eyes"	"Race"
11	"RBFF"	"PZ"	0.248903612903226	"Black"	"female"	"fore"	"Race"
11	"RBME"	"PZ"	-1.26535225806452	"Black"	"male"	"eyes"	"Race"
11	"RBMF"	"PZ"	1.19874677419355	"Black"	"male"	"fore"	"Race"
11	"RWFE"	"PZ"	0.0251700709677419	"White"	"female"	"eyes"	"Race"
11	"RWFF"	"PZ"	-0.0559366129032258	"White"	"female"	"fore"	"Race"
11	"RWME"	"PZ"	-2.16188225806452	"White"	"male"	"eyes"	"Race"
11	"RWMF"	"PZ"	-1.54505580645161	"White"	"male"	"fore"	"Race"
12	"GBFE"	"PZ"	2.83016870967742	"Black"	"female"	"eyes"	"Gender"
12	"GBFF"	"PZ"	5.03177741935484	"Black"	"female"	"fore"	"Gender"
12	"GBME"	"PZ"	0.458537419354839	"Black"	"male"	"eyes"	"Gender"
12	"GBMF"	"PZ"	6.88436129032258	"Black"	"male"	"fore"	"Gender"
12	"GWFE"	"PZ"	-1.02589419354839	"White"	"female"	"eyes"	"Gender"
12	"GWFF"	"PZ"	7.14645806451613	"White"	"female"	"fore"	"Gender"
12	"GWME"	"PZ"	3.71894741935484	"White"	"male"	"eyes"	"Gender"
12	"GWMF"	"PZ"	4.0858935483871	"White"	"male"	"fore"	"Gender"
12	"RBFE"	"PZ"	2.37043967741936	"Black"	"female"	"eyes"	"Race"
12	"RBFF"	"PZ"	6.44318064516129	"Black"	"female"	"fore"	"Race"
12	"RBME"	"PZ"	3.6308964516129	"Black"	"male"	"eyes"	"Race"
12	"RBMF"	"PZ"	6.36953870967742	"Black"	"male"	"fore"	"Race"
12	"RWFE"	"PZ"	1.7754835483871	"White"	"female"	"eyes"	"Race"
12	"RWFF"	"PZ"	5.84136774193548	"White"	"female"	"fore"	"Race"
12	"RWME"	"PZ"	1.28461935483871	"White"	"male"	"eyes"	"Race"
12	"RWMF"	"PZ"	2.31220419354839	"White"	"male"	"fore"	"Race"
13	"GBFE"	"PZ"	-4.29805483870968	"Black"	"female"	"eyes"	"Gender"
13	"GBFF"	"PZ"	-1.75149032258065	"Black"	"female"	"fore"	"Gender"
13	"GBME"	"PZ"	-3.80340193548387	"Black"	"male"	"eyes"	"Gender"
13	"GBMF"	"PZ"	-0.214760806451613	"Black"	"male"	"fore"	"Gender"
13	"GWFE"	"PZ"	-3.85224483870968	"White"	"female"	"eyes"	"Gender"
13	"GWFF"	"PZ"	-4.97854516129032	"White"	"female"	"fore"	"Gender"
13	"GWME"	"PZ"	-4.70997419354839	"White"	"male"	"eyes"	"Gender"
13	"GWMF"	"PZ"	-4.77753225806452	"White"	"male"	"fore"	"Gender"
13	"RBFE"	"PZ"	-3.02515483870968	"Black"	"female"	"eyes"	"Race"
13	"RBFF"	"PZ"	-2.83326935483871	"Black"	"female"	"fore"	"Race"
13	"RBME"	"PZ"	-6.45042258064516	"Black"	"male"	"eyes"	"Race"
13	"RBMF"	"PZ"	-2.55688	"Black"	"male"	"fore"	"Race"
13	"RWFE"	"PZ"	-5.84536774193548	"White"	"female"	"eyes"	"Race"
13	"RWFF"	"PZ"	-3.78607741935484	"White"	"female"	"fore"	"Race"
13	"RWME"	"PZ"	-5.11041290322581	"White"	"male"	"eyes"	"Race"
13	"RWMF"	"PZ"	-2.31854419354839	"White"	"male"	"fore"	"Race"
14	"GBFE"	"PZ"	-3.37572870967742	"Black"	"female"	"eyes"	"Gender"
14	"GBFF"	"PZ"	-4.0104464516129	"Black"	"female"	"fore"	"Gender"
14	"GBME"	"PZ"	-6.11422580645161	"Black"	"male"	"eyes"	"Gender"
14	"GBMF"	"PZ"	-2.9829835483871	"Black"	"male"	"fore"	"Gender"
14	"GWFE"	"PZ"	-5.44598387096774	"White"	"female"	"eyes"	"Gender"
14	"GWFF"	"PZ"	-2.21160709677419	"White"	"female"	"fore"	"Gender"
14	"GWME"	"PZ"	-4.79847096774194	"White"	"male"	"eyes"	"Gender"
14	"GWMF"	"PZ"	-3.55391096774194	"White"	"male"	"fore"	"Gender"
14	"RBFE"	"PZ"	-4.04947258064516	"Black"	"female"	"eyes"	"Race"
14	"RBFF"	"PZ"	-4.47618709677419	"Black"	"female"	"fore"	"Race"
14	"RBME"	"PZ"	-4.42025806451613	"Black"	"male"	"eyes"	"Race"
